ContractNumber,VendorName,ContractStartDate,ContractStopDate,NDCWithDashes,SubItemIdentifier,PackageDescription,Generic,TradeName,VAClass,Covered,PrimeVendor,Price,PriceStartDate,PriceStopDate,PriceType,Non-TAA
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0733-01,,30ML,PRE PROTEIN-20 (MANGO),PRE PROTEIN-20 (MANGO),TN200,F,T,0.75,03/15/2018,07/31/2025,FSS,Compliant
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0733-10,,30ML,PRE PROTEIN-20 (MANGO),PRE PROTEIN-20 (MANGO),TN200,F,T,0.75,03/15/2018,07/31/2025,FSS,Compliant
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0733-16,,480ML,PRE PROTEIN-20 (MANGO),PRE PROTEIN-20 (MANGO),TN200,F,T,12.05,03/15/2018,07/31/2025,FSS,Compliant
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0933-01,,30ML,PRE PROTEIN-15 (PEACH),PRE PROTEIN-15 (PEACH),TN200,F,T,0.71,03/15/2018,07/31/2025,FSS,Compliant
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0933-10,,30ML,PRE PROTEIN-15 (PEACH),PRE PROTEIN-15 (PEACH),TN200,F,T,0.71,03/15/2018,07/31/2025,FSS,Compliant
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0933-16,,480ML,PRE PROTEIN-15 (PEACH),PRE PROTEIN-15 (PEACH),TN200,F,T,11.96,03/15/2018,07/31/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0001-01,,1X30ML,"ECULIZUMAB 10MG/ML INJ,SOLN",SOLIRIS 10MG/ML 30ML VIAL,BL500,T,T,5699.60,01/01/2025,09/30/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0007-01,,10ML,"SEBELIPASE ALFA 2MG/ML INJ,10ML",KANUMA 20MG/10ML,CV350,T,F,9854.95,01/01/2025,09/30/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0010-12,,12X0.45ML,"ASFOTASE ALFA 40MG/ML INJ,VIL,0.45ML (18MG)",STRENSIQ 18MG/0.45ML,HS900,T,F,15211.18,01/01/2025,09/30/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0013-12,,12X0.7ML,"ASFOTASE ALFA 40MG/ML INJ,VIL,0.7ML (28MG)",STRENSIQ 28MG/0.7ML,HS900,T,F,21768.88,01/01/2025,09/30/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0016-12,,12X1ML,"ASFOTASE ALFA 40MG/ML INJ,VIL,1ML",STRENSIQ 40MG/1ML,HS900,T,F,31098.40,01/01/2025,09/30/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0019-12,,12X0.8ML,"ASFOTASE ALFA 100MG/ML INJ,VIL,0.8ML (80MG)",STRENSIQ 80MG/0.8ML,HS900,T,F,54084.18,01/01/2025,09/30/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0025-01,,3ML,"RAVULIZUMAB-CWVZ 10MG/ML INJ,SOLN","ULTOMIRIS 10MG/ML INJ,SOLN",BL500,T,T,5921.29,01/01/2025,09/30/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0028-01,,11ML,"RAVULIZUMAB-CWVZ 100MG/ML INJ,SOLN","ULTOMIRIS 100MG/ML INJ,SOLN",BL500,T,T,21711.38,01/01/2025,09/30/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0043-92,,180,DANICOPAN 100MG TAB,VOYDEYA 100MG TAB,BL500,T,T,5258.89,01/15/2025,09/30/2025,FSS,Compliant
36F79718D0355,Alexion Pharmaceuticals Inc.,04/01/2018,09/30/2025,25682-0046-92,,180,DANICOPAN 90X50MG/90X100MG (150MG) TAB KIT,VOYDEYA 150MG TAB KIT,BL500,T,T,3944.17,01/15/2025,09/30/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4579-37,,100,"METHYLPHENIDATE HCL (EQV-METADATE CD) 10MG CAP,SA",METHYLPHENIDATE HCL (EQV-METADATE CD) 10MG CA,CN802,T,T,32.05,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4580-37,,100,"METHYLPHENIDATE HCL (EQV-METADATE CD) 20MG CAP,SA",METHYLPHENIDATE HCL (EQV-METADATE CD) 20MG CA,CN802,T,T,28.70,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4581-37,,100,"METHYLPHENIDATE HCL (EQV-METADATE CD) 30MG CAP,SA",METHYLPHENIDATE HCL (EQV-METADATE CD) 30MG CA,CN802,T,T,32.92,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4582-37,,100,"METHYLPHENIDATE HCL (EQV-METADATE CD) 40MG CAP,SA",METHYLPHENIDATE HCL (EQV-METADATE CD) 40MG CA,CN802,T,T,49.08,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4583-37,,100,"METHYLPHENIDATE HCL (EQV-METADATE CD) 50MG CAP,SA",METHYLPHENIDATE HCL (EQV-METADATE CD) 50MG CA,CN802,T,T,58.82,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4584-37,,100,"METHYLPHENIDATE HCL (EQV-METADATE CD) 60MG CAP,SA",METHYLPHENIDATE HCL (EQV-METADATE CD) 60MG CA,CN802,T,T,51.81,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4951-32,,30,LEVOTHYROXINE NA 13MCG CAP,LEVOTHYROXINE NA 13MCG CAP,HS851,T,T,58.50,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4952-32,,30,LEVOTHYROXINE NA 25MCG CAP,LEVOTHYROXINE NA 25MCG CAP,HS851,T,T,58.50,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4953-32,,30,LEVOTHYROXINE NA 50MCG CAP,LEVOTHYROXINE NA 50MCG CAP,HS851,T,T,59.07,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4954-32,,30,LEVOTHYROXINE NA 75MCG CAP,LEVOTHYROXINE NA 75MCG CAP,HS851,T,T,56.88,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4955-32,,30,LEVOTHYROXINE NA 88MCG CAP,LEVOTHYROXINE NA 88MCG CAP,HS851,T,T,57.32,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4956-32,,30,LEVOTHYROXINE NA 100MCG CAP,LEVOTHYROXINE NA 100MCG CAP,HS851,T,T,56.75,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4957-32,,30,LEVOTHYROXINE NA 112MCG CAP,LEVOTHYROXINE NA 112MCG CAP,HS851,T,T,59.57,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4958-32,,30,LEVOTHYROXINE NA 125MCG CAP,LEVOTHYROXINE NA 125MCG CAP,HS851,T,T,55.67,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4959-32,,30,LEVOTHYROXINE NA 137MCG CAP,LEVOTHYROXINE NA 137MCG CAP,HS851,T,T,56.47,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4960-32,,30,LEVOTHYROXINE NA 150MCG CAP,LEVOTHYROXINE NA 150MCG CAP,HS851,T,T,55.20,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4961-32,,30,LEVOTHYROXINE NA 175MCG CAP,LEVOTHYROXINE NA 175MCG CAP,HS851,T,T,56.00,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,00527-4962-32,,30,LEVOTHYROXINE NA 200MCG CAP,LEVOTHYROXINE NA 200MCG CAP,HS851,T,T,53.95,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,62175-0485-37,,100,"VERAPAMIL HCL 100MG CAP,SA","VERAPAMIL HCL 100MG CAP,SA",CV200,T,T,134.60,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,62175-0486-37,,100,"VERAPAMIL HCL 200MG CAP,SA","VERAPAMIL HCL 200MG CAP,SA",CV200,T,T,161.15,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,62175-0487-37,,100,"VERAPAMIL HCL 300MG CAP,SA","VERAPAMIL HCL 300MG CAP,SA",CV200,T,T,277.33,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,62175-0570-37,,100,"VERAPAMIL HCL 100MG CAP,SA",VERELAN PM ER 100MG,CV200,T,T,332.12,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,62175-0571-37,,100,"VERAPAMIL HCL 200MG CAP,SA",VERELAN PM ER 200MG,CV200,T,T,323.68,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0359,"Kremers Urban Pharmaceuticals, Inc.",03/01/2018,08/31/2025,62175-0572-37,,100,"VERAPAMIL HCL 300MG CAP,SA",VERELAN PM ER 300MG,CV200,T,T,544.43,01/01/2025,08/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0180-00,,1000,CLONIDINE HCL 0.1MG TAB,CLONIDINE HCL 0.1MG TAB,CV490,F,T,16.29,01/01/2020,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0180-10,,100,CLONIDINE HCL 0.1MG TAB,CLONIDINE HCL 0.1MG TAB,CV490,F,T,2.44,01/01/2020,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0181-00,,1000,CLONIDINE HCL 0.2MG TAB,CLONIDINE HCL 0.2MG TAB,CV490,F,T,23.41,01/01/2020,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0181-10,,100,CLONIDINE HCL 0.2MG TAB,CLONIDINE HCL 0.2MG TAB,CV490,F,T,3.56,01/01/2020,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0182-00,,1000,CLONIDINE HCL 0.3MG TAB,CLONIDINE HCL 0.3MG TAB,CV490,F,T,54.27,12/17/2020,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0182-10,,100,CLONIDINE HCL 0.3MG TAB,CLONIDINE HCL 0.3MG TAB,CV490,F,T,5.41,01/01/2020,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0201-10,,100,ACETAZOLAMIDE 250MG TAB,ACETAZOLAMIDE 250MG TAB,CV703,F,T,22.61,03/27/2024,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0210-10,,100,CYPROHEPTADINE HCL 4MG TAB,CYPROHEPTADINE HCL 4MG TAB,AH107,F,T,4.43,05/04/2021,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0210-50,,500,CYPROHEPTADINE HCL 4MG TAB,CYPROHEPTADINE HCL 4MG TAB,AH107,F,T,22.13,05/04/2021,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0235-10,,100,RAMELTEON 8MG TAB,RAMELTEON 8MG TAB,CN300,F,T,107.89,11/15/2023,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0235-30,,30,RAMELTEON 8MG TAB,RAMELTEON 8MG TAB,CN300,F,T,32.40,11/15/2023,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0260-10,,100,OXYBUTYNIN CL 5MG TAB,OXYBUTYNIN CL 5MG TAB,GU201,F,T,4.07,03/27/2024,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0260-50,,500,OXYBUTYNIN CL 5MG TAB,OXYBUTYNIN CL 5MG TAB,GU201,F,T,18.09,03/27/2024,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0270-10,,100,BISOPROLOL FUMARATE 5MG TAB,BISOPROLOL FUMARATE 5MG TAB,CV100,F,T,13.17,03/27/2024,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0270-30,,30,BISOPROLOL FUMARATE 5MG TAB,BISOPROLOL FUMARATE 5MG TAB,CV100,F,T,3.97,03/27/2024,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0271-10,,100,BISOPROLOL FUMARATE 10MG TAB,BISOPROLOL FUMARATE 10MG TAB,CV100,F,T,14.22,03/27/2024,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0271-30,,30,BISOPROLOL FUMARATE 10MG TAB,BISOPROLOL FUMARATE 10MG TAB,CV100,F,T,4.30,03/27/2024,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0364-10,,100,TRIAMTERENE 50MG CAP,TRIAMTERENE 50MG CAP,CV704,F,T,388.94,05/04/2021,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0365-10,,100,TRIAMTERENE 100MG CAP,TRIAMTERENE 100MG CAP,CV704,F,T,457.29,05/04/2021,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0375-30,,30,"CLONIDINE HCL 0.17MG TAB,SA","CLONIDINE HCL 0.17MG TAB,SA",CV490,T,T,245.84,01/01/2025,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0601-38,,100ML,"CLOZAPINE (VERSACLOZ) 50MG/ML SUSP,ORAL","CLOZAPINE (VERSACLOZ) 50MG/ML SUSP,ORAL",CN709,T,T,623.62,01/01/2025,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0610-04,,4,CLONIDINE 0.1MG/24HRS PATCH,CLONIDINE 0.1MG/24HRS PATCH,CV490,T,T,9.53,01/01/2025,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0611-04,,4,CLONIDINE 0.2MG/24HRS PATCH,CLONIDINE 0.2MG/24HRS PATCH,CV490,T,T,12.98,01/01/2025,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0612-04,,4,CLONIDINE 0.3MG/24HRS PATCH,CLONIDINE 0.3MG/24HRS PATCH,CV490,T,T,17.60,01/01/2025,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0615-16,,473ML,"TRAMADOL HCL 5MG/ML SOLN,ORAL","TRAMADOL HCL 5MG/ML SOLN,ORAL",CN101,T,T,241.21,01/01/2025,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0620-08,,237ML,"BACLOFEN 2MG/ML SOLN,ORAL","BACLOFEN 2MG/ML SOLN,ORAL",MS200,T,T,381.98,01/01/2025,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0720-05,,5X3ML,"APOMORPHINE HCL 10MG/ML INJ,SOLN,CARTRIDGE,3ML","APOMORPHINE HCL 10MG/ML INJ,SOLN,CARTRIDGE,3M",CN500,F,T,3847.01,05/29/2024,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0800-30,,30ML,"CLOTRIMAZOLE 1% SOLN,TOP","CLOTRIMAZOLE 1% SOLN,TOP",DE102,F,T,30.15,05/04/2021,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0811-54,,454GM,"TRIAMCINOLONE ACETONIDE 0.1% CREAM,TOP","TRIAMCINOLONE ACETONIDE 0.1% CREAM,TOP",DE200,F,T,14.57,06/23/2022,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0815-08,,236.5ML,"AMINOCAPROIC ACID 250MG/ML SOLN,ORAL","AMINOCAPROIC ACID 250MG/ML SOLN,ORAL",BL116,F,T,386.93,10/08/2021,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0816-15,,15ML,"ACETIC ACID 2% SOLN,OTIC","ACETIC ACID 2% SOLN,OTIC",OY109,F,T,22.61,11/18/2020,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0824-15,,15GM,"BETAMETHASONE DIPROPIONATE 0.05% OINT,TOP","BETAMETHASONE DIPROPIONATE 0.05% OINT,TOP",DE200,F,T,14.59,10/28/2022,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0824-45,,45GM,"BETAMETHASONE DIPROPIONATE 0.05% OINT,TOP","BETAMETHASONE DIPROPIONATE 0.05% OINT,TOP",DE200,F,T,30.95,10/28/2022,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0830-04,,118ML,LEVOCARNITINE 1GM/10ML LIQUID,LEVOCARNITINE 1GM/10ML LIQUID,TN900,F,T,18.94,04/26/2022,07/31/2025,FSS,Compliant
36F79718D0364,"TruPharma, LLC",02/15/2018,07/31/2025,52817-0840-16,,473ML,"SUCRALFATE 500MG/5ML SUSP,ORAL","SUCRALFATE 500MG/5ML SUSP,ORAL",GA302,F,T,50.25,05/29/2024,07/31/2025,FSS,Compliant
36F79718D0396,"Pharming Healthcare, Inc.",04/01/2018,03/31/2026,71274-0170-60,,60,LENIOLISIB 70MG TAB,JOENJA 70MG TAB,AN900,T,F,44949.03,01/01/2025,03/31/2026,FSS,Compliant
36F79718D0396,"Pharming Healthcare, Inc.",04/01/2018,03/31/2026,71274-0350-02,,1,"C1 INHIBITOR (RECOMB) 2100UNITS/VIL INJ,PWDR","RUCONEST 2100UNITS/VIL INJ,PWDR",BL900,T,F,4775.03,01/01/2025,03/31/2026,FSS,Compliant
36F79718D0402,Lantheus Medical Imaging,04/01/2018,03/31/2025,11994-0001-20,,1,TECHNETIUM TC99M SESTAMIBI KIT,CARDIOLITE 20 VIAL KIT,DX201,T,F,444.64,01/01/2025,03/31/2025,FSS,Compliant
36F79718D0402,Lantheus Medical Imaging,04/01/2018,03/31/2025,11994-0001-55,,5,TECHNETIUM TC99M SESTAMIBI KIT,CARDIOLITE,DX201,T,F,85.76,01/01/2025,03/31/2025,FSS,Compliant
36F79718D0402,Lantheus Medical Imaging,04/01/2018,03/31/2025,11994-0003-20,,20X5ML,TECHNETIUM TC99M SESTAMIBI KIT,SESTAMIBI 20 VIAL KIT,DX201,T,F,470.34,01/01/2025,03/31/2025,FSS,Compliant
36F79718D0402,Lantheus Medical Imaging,04/01/2018,03/31/2025,11994-0006-02,,2UNIT,TECHNETIUM TC99M BICISATE KIT,NEUROLITE,DX201,T,F,1881.84,01/01/2025,03/31/2025,FSS,Compliant
36F79718D0402,Lantheus Medical Imaging,04/01/2018,03/31/2025,11994-0011-04,,4X2ML,"PERFLUTREN LIPID MICROSPHERE INJ,2ML","DEFINITY 0.75MG/ML INJ,SUSP 2ML SDV",DX109,T,F,269.50,01/01/2025,03/31/2025,FSS,Compliant
36F79718D0402,Lantheus Medical Imaging,04/01/2018,03/31/2025,11994-0011-16,,16X2ML,"PERFLUTREN LIPID MICROSPHERE INJ,2ML","DEFINITY 2ML INJ,SUSP",DX109,T,F,1010.58,01/01/2025,03/31/2025,FSS,Compliant
36F79718D0402,Lantheus Medical Imaging,04/01/2018,03/31/2025,11994-0090-01,,1,MOLYBDENUM (MO-99) 50 MIL/ML INJ,MOLYBDENUM (MO-99) 50 MIL/ML INJ,DX201,T,F,1883.27,01/01/2025,03/31/2025,FSS,Compliant
36F79718D0402,Lantheus Medical Imaging,04/01/2018,03/31/2025,11994-0090-03,,1,MOLYBDENUM (MO-99) 50 MIL/ML INJ,MOLYBDENUM (MO-99) 50 MIL/ML INJ,DX201,T,F,2506.28,01/01/2025,03/31/2025,FSS,Compliant
36F79718D0402,Lantheus Medical Imaging,04/01/2018,03/31/2025,11994-0090-04,,1,MOLYBDENUM (MO-99) 50 MIL/ML INJ,MOLYBDENUM (MO-99) 50 MIL/ML INJ,DX201,T,F,2284.56,01/01/2025,03/31/2025,FSS,Compliant
